duration,zero_crossing_rate,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,tempo,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_mean,chroma_std,rms_mean,rms_std,title,category
172.62666666666667,0.10438343245628783,2000.0166285522894,601.6209173654661,3780.3065828324648,1881.4111283070563,[99.38401442],-158.65561,95.805984,95.148506,33.77189,-31.806454,22.411547,42.503353,18.290174,-3.2079644,14.83904,5.099551,12.051287,-9.231112,14.577216,0.91231054,10.338036,-11.297767,11.899106,4.8323183,11.162579,-11.771968,10.057098,-2.7686577,9.09536,-4.91327,10.755708,0.33874527,0.30427387,0.112711936,0.0681636,I Got a Woman.mp3,blues
258.93333333333334,0.0864949164807882,1915.658228979625,455.1893379535379,3947.5949302465365,2128.433617425002,[92.28515625],-37.743786,53.761112,112.16968,26.372221,-20.47074,27.153791,28.42632,14.939458,4.6720486,13.396607,8.518967,11.803066,-2.0195134,8.850585,7.6818047,9.601214,-2.0211911,7.370189,3.949793,8.627743,-2.979687,7.4464216,2.8426359,7.35916,-3.4844377,7.058332,0.39986378,0.29009685,0.24018434,0.076863125,"Good Love Is On the Way (Live at the Nokia Theatre, Los Angeles, CA - December 2007).mp3",blues
232.96,0.08360749370826273,1777.7452200470464,449.1082114281143,3708.5989939255146,2103.107971239161,[67.99958882],-137.54918,68.58023,117.44148,26.341045,-8.708487,16.288042,15.50242,13.57003,-4.3571854,12.603865,14.604366,9.940109,2.7905114,12.461243,4.5608664,8.742144,-5.540676,9.328114,-0.42528653,8.334745,-4.732515,8.568545,1.017028,7.8690257,-0.8628709,7.107228,0.32549864,0.2975336,0.107395306,0.042580478,Five Long Years.mp3,blues
201.66666666666666,0.09833774131864495,2015.5631635826198,988.6549376394992,3951.0366082767887,2065.255005216544,[95.703125],-242.37065,112.630745,97.186295,43.596077,-6.9801626,32.84666,31.95382,19.86194,-4.214854,13.093332,-0.13217705,17.779257,1.4101404,10.56935,2.0966375,9.81574,-8.155604,10.382339,4.2227383,8.812109,-6.8747587,8.3477125,-3.3460126,9.547279,-3.9720864,8.291248,0.33797687,0.3136478,0.05728858,0.035599653,T'aint Nobodys Business If I Do.mp3,blues
216.62666666666667,0.09788191653269025,2078.283719566064,567.9256380443796,4214.211716237942,2111.1245443470984,[117.45383523],-105.72054,90.8238,92.26505,29.635931,-18.33904,21.320229,37.601322,12.035287,-5.8750925,10.750738,7.2939568,7.926151,-4.737544,7.566478,10.106349,7.9833736,5.2743216,7.3511167,4.485533,6.863108,-0.5575959,7.5300426,6.720622,8.805755,-6.7167497,8.171321,0.34143955,0.30110914,0.1420315,0.050647058,Stumble.mp3,blues
296.32,0.06812357517679439,1764.2209613519863,711.0620051673517,3787.8333432045574,2085.135324987256,[117.45383523],-185.81874,75.98176,119.23669,33.029915,-10.197825,22.066673,21.884085,13.914754,0.6365705,11.808924,11.709359,10.526051,4.030148,10.01786,4.0620155,8.86834,-2.6124926,9.120043,4.2730184,8.336162,-3.0145867,8.516632,1.2657317,7.9685664,-5.6732035,8.5720825,0.33729702,0.3086679,0.07932795,0.029829247,Spoonful.mp3,blues
467.0,0.08848992450467359,1744.0881069775617,710.0134564967824,3347.248260948687,1873.2115042053974,[123.046875],-246.14734,110.481964,108.28066,31.17442,-26.245165,44.505928,31.07983,16.904692,15.424417,16.775484,24.288755,12.093401,7.1434774,11.307788,6.165358,9.66624,8.258066,9.593478,5.1778054,9.329696,-0.88355297,9.94318,0.85630614,8.594758,-2.9129212,8.054873,0.37546134,0.30360138,0.06766907,0.050313935,"Have You Ever Loved A Woman (Live At Long Beach Arena, California ⧸ 1974).mp3",blues
132.22639455782314,0.14584262168020193,2291.593318300793,443.37335918369524,4135.668126508999,2013.930479333547,[117.45383523],-80.632454,73.89159,88.61203,23.002943,-44.496284,21.74356,19.380396,15.843228,-10.326966,11.520659,-2.6057136,12.06,-10.408737,10.4191065,-0.49435306,10.4763565,-10.972638,9.993856,-0.89880353,8.596845,-2.307521,8.556716,-0.6727173,8.126507,-8.654824,8.905449,0.33182657,0.29671746,0.14557764,0.05076277,Got to Be Some Changes Made.mp3,blues
332.9866666666667,0.10272751774850081,2656.7009259933493,782.610997459317,5845.375752527173,2690.825733294357,[112.34714674],-102.499596,71.452934,66.81799,28.295856,7.0237703,23.282116,26.328424,17.53537,9.579255,15.713934,13.503929,11.447488,-8.170352,10.789234,9.529737,11.443941,-4.300956,10.790626,1.5630902,10.890461,-1.391577,10.159326,-2.481841,9.231929,-10.543885,10.591019,0.29550073,0.3086711,0.16390122,0.0634903,Born Under A Bad Sign.mp3,blues
238.13333333333333,0.060528735846699495,1529.831555514504,623.5194021327522,3094.1308579467204,2071.734572739235,[129.19921875],-196.21078,89.07164,134.0165,34.270535,13.081697,22.840767,7.9885244,14.602094,2.6659265,11.684676,4.2842956,9.894662,3.055765,9.656503,0.98043734,10.5736065,-3.6054597,8.370182,1.2198801,7.354498,-1.302682,7.3302565,2.8900497,7.274876,-6.410298,7.8187585,0.36585513,0.29594558,0.080582894,0.036535867,The Sky Is Crying.mp3,blues
